fileName,nodeCount,relationshipCount,processingTime,status,model,success_count,session_id,message,info,user,execution_date
About Amazon.pdf,45.0,49.0,66.46,Completed,openai-gpt-3.5,1.0,,,,,2024-07-22
CNN anchor breaks down transcript from second day of testimony in Trump hush money trial,58.0,30.0,52.07,Completed,openai-gpt-3.5,1.0,,,,,2024-07-22
,,,,,,,1.0,"Amazon is a multinational technology company founded by Jeff Bezos in 1994. It started as an online bookstore but has since expanded into various other product categories, including electronics, clothing, and household items. Amazon is known for its e-commerce platform, which allows customers to purchase a wide range of products online. It has also developed other services such as Amazon Prime, which offers fast shipping and access to streaming services, and Amazon Web Services (AWS), a cloud computing platform. Today, Amazon is one of the largest companies in the world and has a significant presence in the global market.","{'sources': {'https://www.amazon.in/', 'About Amazon.pdf'}, 'model': 'gpt-3.5-turbo-16k', 'chunkdetails': [{'id': '73bc9c9170bcd807d2fa87d87a0eeb3d82f95160', 'score': 0.8412}, {'id': '37a9965de5ffc04c883112ae0b44387831f0c2b6', 'score': 0.8233}, {'id': 'db13d8eeb1fd51d843d04bd508b264b505c79ec4', 'score': 0.829}], 'total_tokens': 4166, 'response_time': 0, 'mode': 'graph+vector'}",chatbot,2024-07-22
,,,,,,,1.0,"Amazon is a multinational technology company founded by Jeff Bezos in 1994. Initially, it started as an online bookstore but has since expanded into various product categories, including electronics, clothing, and household items. Amazon is known for its e-commerce platform, which offers a wide range of products and services to customers worldwide. It has also diversified its business with ventures such as Amazon Prime, a subscription-based service that provides benefits like fast shipping and access to streaming content, and Amazon Web Services (AWS), a cloud computing platform. Today, Amazon is one of the largest companies globally, with a significant presence in the retail and technology sectors.","{'sources': {'https://www.amazon.in/', 'About Amazon.pdf'}, 'model': 'gpt-3.5-turbo-16k', 'chunkdetails': [{'id': '73bc9c9170bcd807d2fa87d87a0eeb3d82f95160', 'score': 0.8049}, {'id': 'de5486776978353c9f8ac530bcff33eeecbdbbad', 'score': 0.7882}, {'id': 'da48bac6f8d50cec4e58d0358471e5d0eac17d07', 'score': 0.7755}], 'total_tokens': 1336, 'response_time': 0, 'mode': 'vector'}",chatbot,2024-07-22
About Amazon.pdf,34.0,0.0,44.64,Completed,azure_ai_gpt_35,1.0,,,,,2024-07-22
CNN anchor breaks down transcript from second day of testimony in Trump hush money trial,57.0,31.0,46.29,Completed,azure_ai_gpt_35,1.0,,,,,2024-07-22
,,,,,,,1.0,"Amazon is a multinational technology company founded by Jeff Bezos in 1994. Initially, it started as an online bookstore but has since grown into a global e-commerce giant. Amazon offers a wide range of products and services, including electronics, books, clothing, and more. It has also expanded into various industries such as cloud computing with Amazon Web Services (AWS) and digital streaming with Amazon Prime Video. Amazon is known for its customer-centric approach, fast delivery, and competitive pricing. It has become one of the largest and most influential companies in the world.","{'sources': {'About Amazon.pdf'}, 'model': 'gpt-35', 'chunkdetails': [{'id': '73bc9c9170bcd807d2fa87d87a0eeb3d82f95160', 'score': 0.8049}, {'id': 'de5486776978353c9f8ac530bcff33eeecbdbbad', 'score': 0.7882}], 'total_tokens': 2069, 'response_time': 0, 'mode': 'graph+vector'}",chatbot,2024-07-22
,,,,,,,1.0,"Amazon is a multinational technology company founded by Jeff Bezos in 1994. It started as an online bookstore but has since expanded into various industries, including e-commerce, cloud computing, digital streaming, and artificial intelligence. Amazon offers a wide range of products and services, including electronics, books, clothing, groceries, and more. It is known for its customer-centric approach, fast delivery, and competitive pricing. Amazon has revolutionized the retail industry and has become one of the largest and most influential companies globally.","{'sources': {'About Amazon.pdf'}, 'model': 'gpt-35', 'chunkdetails': [{'id': '73bc9c9170bcd807d2fa87d87a0eeb3d82f95160', 'score': 0.8689}, {'id': '37a9965de5ffc04c883112ae0b44387831f0c2b6', 'score': 0.8025}, {'id': 'ef55bfbcbcb29540e979fba831f2d0c35a175fe3', 'score': 0.7952}], 'total_tokens': 1495, 'response_time': 0, 'mode': 'vector'}",chatbot,2024-07-22
About Amazon.pdf,32.0,16.0,42.18,Completed,azure_ai_gpt_4o,1.0,,,,,2024-07-22
CNN anchor breaks down transcript from second day of testimony in Trump hush money trial,17.0,7.0,22.11,Completed,azure_ai_gpt_4o,1.0,,,,,2024-07-22
,,,,,,,1.0,"Amazon was founded in 1993 by Jeff Bezos, initially as an online bookstore. Over time, it expanded its business strategy to include mergers and acquisitions, transforming into a comprehensive online retail platform. Today, Amazon aims to be a one-stop shop for virtually any product a customer might want to purchase online. The company has grown into a $48 billion retail giant, leveraging technological advancements in computational power, bandwidth, and data.

Amazon's competitive advantages include its patented technologies like 1-Click Ordering, exceptional customer service, and convenience. However, it faces high competition from other online retailers and substitutes. The company has made significant investments in infrastructure and distribution centers, which are crucial for its operations but have also led to challenges in margin expansion.

Amazon's future outlook involves overcoming various challenges and maintaining its competitive edge by harnessing its core competencies and expanding in emerging markets like China and India. The company also offers a range of services, including Amazon Web Services (AWS), Amazon Prime Music, Audible, and more.","{'sources': {'About Amazon.pdf'}, 'model': 'gpt-4o', 'chunkdetails': [{'id': '73bc9c9170bcd807d2fa87d87a0eeb3d82f95160', 'score': 0.8338}, {'id': 'de5486776978353c9f8ac530bcff33eeecbdbbad', 'score': 0.7941}, {'id': '37a9965de5ffc04c883112ae0b44387831f0c2b6', 'score': 0.765}], 'total_tokens': 3569, 'response_time': 0, 'mode': 'graph+vector'}",chatbot,2024-07-22
,,,,,,,1.0,"Amazon was founded in 1993 by Jeff Bezos, initially as an online bookstore. Over time, it expanded its business strategy through mergers and acquisitions, transforming into a comprehensive online retail platform. Today, Amazon aims to be a one-stop shop for virtually any product online, leveraging technological advancements in computational power, bandwidth, and data.

Despite its growth, Amazon faces significant competition and challenges, particularly in maintaining its profit margins due to substantial investments in infrastructure and distribution centers. The company is known for its patented technologies, such as 1-Click Ordering, which enhance customer convenience and service quality. However, it does not have an absolute competitive advantage in its product offerings due to the availability of many alternatives.

Amazon's future outlook involves overcoming these challenges and maintaining its competitive edge by harnessing its core competencies and expanding in emerging markets. Continued success in these areas is crucial for ensuring a bright future for the company.","{'sources': {'About Amazon.pdf'}, 'model': 'gpt-4o', 'chunkdetails': [{'id': '73bc9c9170bcd807d2fa87d87a0eeb3d82f95160', 'score': 0.8132}, {'id': 'de5486776978353c9f8ac530bcff33eeecbdbbad', 'score': 0.7685}, {'id': '37a9965de5ffc04c883112ae0b44387831f0c2b6', 'score': 0.7376}], 'total_tokens': 1475, 'response_time': 0, 'mode': 'vector'}",chatbot,2024-07-22
About Amazon.pdf,32.0,0.0,25.79,Completed,anthropic_claude_3_5_sonnet,1.0,,,,,2024-07-22
